[17:06:45], clump of pamtam kelp
[17:07:00], shall shell
[17:07:17], turtle shell
[17:08:30], suit of goblin armor
[17:08:49], shall shell
[17:09:08], bibiki slug
[17:09:22], turtle shell
[17:09:36], handful of pugil scales
[17:09:49], shall shell
[17:10:03], handful of pugil scales
[17:10:33], sack of white sand
[17:43:12], maple log
[17:43:27], crab shell
[17:43:41], nebimonite
[17:43:54], shall shell
[17:44:14], vongola clam
[17:44:55], pebble
[17:45:10], handful of fish scales
[17:45:39], jacknife
[17:47:09], coral fragment
[17:47:22], bibiki slug
[17:47:36], handful of fish scales
[17:47:50], seashell
[17:48:05], bibiki slug
[17:48:18], titanictus shell
[17:48:32], turtle shell
[17:48:53], vongola clam
[17:49:42], hobgoblin pie
[18:06:38], vongola clam
[18:06:52], jacknife
[18:26:25], handful of fish scales
[18:26:42], jacknife
[18:27:17], pebble
[18:27:39], jacknife
[18:33:07], clump of pamtam kelp
[18:33:38], pebble
[18:34:10], jacknife
[18:34:24], shall shell
[18:34:37], bibiki slug
[18:35:01], goblin mask
[18:35:26], loaf of hobgoblin bread
[18:35:41], maple log
[18:37:34], handful of pugil scales
[18:37:54], jacknife
[18:38:13], maple log
[18:38:26], handful of fish scales
[18:38:40], jacknife
[18:38:53], tropical clam
[18:44:16], bibiki slug
[18:44:29], bibiki slug
[18:44:50], coral fragment
[18:45:03], pebble
[18:45:17], bibiki slug
[18:45:31], bibiki slug
[18:45:46], jacknife
[18:46:00], jacknife
[18:47:00], handful of pugil scales
[18:47:15], clump of pamtam kelp
[18:47:27], handful of fish scales
[18:47:41], sack of white sand
[18:47:54], maple log
[18:49:06], maple log
[18:49:21], bibiki slug
[18:49:34], pebble
[19:00:02], handful of pugil scales
[19:06:00], handful of fish scales
[19:06:18], broken willow fishing rod
[19:08:38], pebble
[19:08:52], hobgoblin pie
[19:09:14], sack of white sand
[19:09:35], handful of pugil scales
[19:09:49], maple log
[19:10:03], goblin mask
[19:11:11], handful of fish scales
[19:12:34], clump of pamtam kelp
[19:13:01], turtle shell
[19:24:10], jacknife
[19:24:50], bibiki urchin
[19:25:08], goblin mask
[19:25:26], goblin mask
[19:25:40], bibiki urchin
[19:37:34], vongola clam
[19:37:47], vongola clam
[19:38:01], pebble
[19:38:17], handful of pugil scales
[19:38:38], crab shell
[19:38:51], shall shell
[19:40:54], clump of pamtam kelp
[19:41:09], shall shell
[19:41:58], pebble
[21:05:30], pebble
[21:05:47], vongola clam
[21:06:02], jacknife
[21:06:32], seashell
[21:06:48], tropical clam
[21:08:17], handful of fish scales
[21:08:31], jacknife
[21:08:49], jacknife
[21:09:03], handful of pugil scales
[21:09:16], handful of fish scales
[21:09:30], pebble
[21:09:46], jacknife
[21:11:21], handful of pugil scales
[21:11:36], pebble
[21:11:50], sack of white sand
[21:12:14], pebble
[21:12:39], bibiki slug
[21:13:34], seashell
[21:13:54], jacknife
[21:14:16], jacknife
[21:24:30], vongola clam
[21:24:43], maple log
[21:24:56], hobgoblin pie
[21:25:09], pebble
[21:25:33], bibiki slug
[21:25:46], shall shell
[21:25:59], pebble
[21:26:37], pebble
[21:34:52], jacknife
[21:35:06], pebble
[21:36:19], vongola clam
[21:36:32], suit of goblin mail
