[06:33:46], pebble
[06:34:02], bibiki slug
[06:34:15], bibiki slug
[06:34:28], pebble
[06:34:44], clump of pamtam kelp
[06:34:57], handful of fish scales
[06:35:10], handful of pugil scales
[06:35:23], bibiki urchin
[06:35:42], handful of fish scales
[06:35:55], clump of pamtam kelp
[06:36:54], bibiki slug
[06:37:08], vongola clam
[06:37:21], handful of fish scales
[06:37:35], shall shell
[06:37:49], bibiki slug
[06:38:15], clump of pamtam kelp
[06:38:40], uragnite shell
[06:38:54], seashell
[06:39:15], vongola clam
[06:42:36], pebble
[06:42:50], jacknife
[06:43:04], loaf of hobgoblin bread
[06:43:18], nebimonite
[06:43:47], shall shell
[06:44:07], shall shell
[06:44:21], pebble
[06:45:46], loaf of hobgoblin bread
[06:46:08], bibiki slug
[06:46:30], tropical clam
[06:46:44], clump of pamtam kelp
[06:46:58], pebble
[06:48:06], bibiki slug
[06:48:19], pebble
[06:48:32], bibiki slug
[06:48:45], bibiki slug
[06:48:58], maple log
[06:49:11], suit of goblin mail
[06:49:24], pebble
[06:49:38], nebimonite
[06:49:51], maple log
[06:50:53], pebble
[06:51:06], handful of fish scales
[06:51:19], pebble
[06:51:32], jacknife
[06:51:45], handful of high-quality pugil scales
[06:51:58], crab shell
[06:52:21], jacknife
[06:53:22], loaf of hobgoblin bread
[06:53:37], suit of goblin armor
[06:53:58], suit of goblin mail
[06:54:12], bibiki slug
[06:54:25], clump of pamtam kelp
[06:54:39], jacknife
[06:55:42], clump of pamtam kelp
[06:55:55], bibiki slug
[06:56:08], goblin mask
[06:56:21], handful of pugil scales
[06:56:35], clump of pamtam kelp
[06:56:48], pebble
[06:57:01], handful of fish scales
[06:57:14], high-quality crab shell
[06:58:54], coral fragment
[06:59:07], pebble
[06:59:20], suit of goblin armor
[06:59:33], handful of pugil scales
[06:59:46], broken willow fishing rod
[07:00:08], clump of pamtam kelp
[07:00:20], bibiki slug
[07:00:33], seashell
[07:25:43], tropical clam
[07:25:57], maple log
[07:26:10], lacquer tree log
[07:28:54], pebble
[07:29:24], pebble
[07:29:38], vongola clam
[07:29:57], bibiki slug
[07:30:10], clump of pamtam kelp
[07:30:25], loaf of hobgoblin bread
[07:30:38], loaf of hobgoblin bread
[07:30:51], elm log
[07:32:38], bibiki slug
[07:32:51], suit of goblin armor
[07:33:04], goblin mask
[07:33:18], pebble
[07:33:31], broken willow fishing rod
[07:33:44], bibiki slug
[07:33:58], bibiki slug
[07:38:59], pebble
[07:39:13], bibiki slug
[07:39:44], shall shell
[07:39:57], jacknife
[07:40:33], pebble
[07:40:46], vongola clam
[07:41:27], vongola clam
[07:43:57], tropical clam
[07:44:50], seashell
[07:45:03], shall shell
[07:45:17], bibiki slug
[07:46:11], pebble
[07:46:24], pebble
[07:46:41], jacknife
[07:46:54], sack of white sand
[07:48:09], vongola clam
[07:48:22], hobgoblin pie
[07:50:06], suit of goblin armor
[07:51:32], shall shell
[07:51:48], shall shell
[07:52:02], bibiki slug
[07:52:15], seashell
[07:52:28], vongola clam
[07:52:41], bibiki slug
[07:53:48], sack of white sand
[07:54:50], nebimonite
[07:55:10], jacknife
[07:55:34], shall shell
[07:55:49], pebble
[07:57:13], vongola clam
[07:57:26], pebble
[07:57:38], pebble
[07:58:22], handful of fish scales
[07:59:21], nebimonite
[07:59:34], handful of pugil scales
[07:59:47], elm log
[08:00:00], bibiki slug
[08:00:13], seashell
[08:00:26], seashell
[08:02:30], broken willow fishing rod
[08:02:43], crab shell
[08:02:55], jacknife
[08:03:08], crab shell
[08:03:21], vongola clam
[08:06:34], pebble
[08:11:18], pebble
[08:12:24], handful of pugil scales
[08:12:56], bibiki slug
[08:13:13], seashell
[08:13:26], seashell
[08:13:43], shall shell
[08:13:59], jacknife
[08:14:12], pebble
[08:14:45], jacknife
[09:10:29], bibiki urchin
[09:11:53], jacknife
[09:12:07], suit of goblin armor
