[00:10:09], vongola clam
[00:10:22], nebimonite
[00:10:36], vongola clam
[00:10:50], uragnite shell
[00:11:07], handful of fish scales
[00:12:58], pebble
[00:15:48], broken willow fishing rod
[00:18:21], bibiki slug
[00:18:35], uragnite shell
[00:18:48], bibiki slug
[00:19:01], piece of oxblood
[00:19:51], bibiki slug
[00:20:05], clump of pamtam kelp
[00:20:18], clump of pamtam kelp
[00:21:24], nebimonite
[00:21:36], shall shell
[00:21:49], jacknife
[00:22:04], handful of pugil scales
[00:22:17], shall shell
[00:22:40], jacknife
[00:24:18], goblin mask
[00:24:36], sack of white sand
[00:25:33], hobgoblin pie
[00:25:46], pebble
[00:26:29], bibiki slug
[00:26:43], handful of pugil scales
[00:26:56], bibiki slug
[00:28:34], pebble
[00:30:20], lacquer tree log
[00:30:34], loaf of hobgoblin bread
[00:30:52], pebble
[00:31:07], clump of pamtam kelp
[00:31:50], pebble
[00:33:13], pebble
[00:34:14], nebimonite
[00:35:04], clump of pamtam kelp
[00:35:28], maple log
[00:36:02], vongola clam
[00:36:15], seashell
[00:36:29], handful of high-quality pugil scales
[00:37:51], vongola clam
[00:38:24], suit of goblin mail
[00:38:41], handful of high-quality pugil scales
[00:38:53], bibiki slug
[00:39:08], handful of pugil scales
[00:39:23], pebble
[00:40:36], clump of pamtam kelp
[00:40:57], handful of pugil scales
[00:41:10], nebimonite
[00:41:26], jacknife
[00:41:41], clump of pamtam kelp
[00:41:54], jacknife
[00:42:08], jacknife
[08:51:16], shall shell
[08:51:30], bibiki urchin
[08:51:43], handful of pugil scales
[08:51:56], loaf of hobgoblin bread
[08:52:09], shall shell
[08:52:22], pebble
[08:53:01], turtle shell
[08:54:29], bibiki slug
[08:54:43], pebble
[08:56:37], jacknife
[08:56:50], goblin mask
[08:57:04], nebimonite
[08:57:18], titanictus shell
[09:00:26], bibiki slug
[09:12:31], bibiki slug
[09:12:44], nebimonite
[09:32:24], handful of pugil scales
[09:32:37], vongola clam
[09:32:49], bibiki slug
[09:33:02], jacknife
[09:33:14], jacknife
[09:33:26], nebimonite
[09:54:20], hobgoblin pie
[09:54:38], jacknife
[09:54:51], jacknife
[09:55:04], pebble
[09:55:17], pebble
[11:10:38], bibiki slug
[11:11:00], nebimonite
[11:11:13], loaf of hobgoblin bread
[11:12:46], jacknife
[11:12:59], clump of pamtam kelp
[11:13:19], clump of pamtam kelp
[11:13:32], pebble
[11:16:53], tropical clam
[11:17:12], seashell
[11:17:26], pebble
[11:17:40], bibiki slug
[11:39:52], shall shell
[11:40:09], pebble
[11:40:22], vongola clam
[11:40:35], tropical clam
[11:41:36], sack of white sand
[11:41:49], clump of pamtam kelp
[11:42:04], broken willow fishing rod
[11:42:55], pebble
[11:43:08], suit of goblin armor
[11:43:21], jacknife
[11:43:37], maple log
[11:44:25], maple log
[11:44:39], bibiki urchin
[11:44:52], clump of pamtam kelp
[11:45:05], hobgoblin pie
[11:45:18], jacknife
[11:45:31], clump of pamtam kelp
[20:38:41], clump of pamtam kelp
[20:39:00], clump of pamtam kelp
[20:40:35], bibiki slug
[20:40:57], handful of pugil scales
[20:41:15], jacknife
[20:42:36], sack of white sand
[20:42:51], bibiki slug
[20:43:19], goblin mask
[20:46:09], pebble
[21:08:21], pebble
[21:08:49], handful of pugil scales
[21:09:04], pebble
[21:11:58], pebble
[21:12:11], jacknife
[21:12:24], vongola clam
[21:14:42], crab shell
[21:14:59], shall shell
[21:15:18], clump of pamtam kelp
[21:15:33], suit of goblin armor
[21:15:52], pebble
[21:16:08], elm log
[21:19:32], broken willow fishing rod
[21:19:52], pebble
[21:20:35], jacknife
[21:20:48], bibiki slug
[21:21:03], nebimonite
[21:21:18], clump of pamtam kelp
[21:42:28], pebble
[21:43:35], pebble
[21:43:56], pebble
[21:44:09], pebble
[21:45:04], bibiki slug
[21:45:35], pebble
[21:45:56], suit of goblin armor
[21:46:14], pebble
[21:49:51], jacknife
[21:50:04], shall shell
[21:50:17], handful of high-quality pugil scales
[21:50:33], bibiki slug
[21:50:51], clump of pamtam kelp
[21:51:07], pebble
[21:51:19], jacknife
[21:52:31], shall shell
[21:52:44], bibiki slug
[21:52:59], bibiki slug
[21:53:27], handful of pugil scales
[21:53:41], maple log
[21:53:54], jacknife
[21:54:07], clump of pamtam kelp
[21:54:20], goblin mask
[21:56:32], coral fragment
[21:56:45], sack of white sand
[21:57:00], shall shell
[21:57:13], petrified log
[21:57:27], loaf of hobgoblin bread
