[12:03:09], Unknown, maple log
[12:03:22], Unknown, suit of goblin armor
[12:03:35], Unknown, pebble
[12:03:48], Unknown, sack of white sand
[12:04:01], Unknown, goblin mask
[12:04:14], Unknown, bibiki slug
[12:04:27], Unknown, pebble
[12:05:21], Unknown, sack of white sand
[12:05:34], Unknown, pebble
[12:05:47], Unknown, titanictus shell
[12:06:00], Unknown, uragnite shell
[12:06:13], Unknown, pebble
[12:07:07], Unknown, seashell
[12:07:20], Unknown, crab shell
[12:07:34], Unknown, clump of pamtam kelp
[12:07:47], Unknown, jacknife
[12:07:59], Unknown, shall shell
[12:08:12], Unknown, handful of pugil scales
[12:08:25], Unknown, shall shell
[12:09:14], Unknown, nebimonite
[12:09:26], Unknown, loaf of hobgoblin bread
[12:09:39], Unknown, tropical clam
[12:10:34], Unknown, pebble
[12:10:46], Unknown, handful of fish scales
[12:10:59], Unknown, handful of fish scales
[12:11:11], Unknown, handful of pugil scales
[12:11:24], Unknown, shall shell
[12:11:37], Unknown, handful of high-quality pugil scales
[12:11:50], Unknown, goblin mask
[12:12:02], Unknown, sack of white sand
[12:12:54], Unknown, loaf of hobgoblin bread
[12:13:07], Unknown, vongola clam
[12:13:20], Unknown, bibiki slug
[12:13:33], Unknown, loaf of hobgoblin bread
[12:13:46], Unknown, crab shell
[12:13:59], Unknown, handful of pugil scales
[12:14:12], Unknown, bibiki slug
[12:14:24], Unknown, bibiki slug
[12:14:37], Unknown, vongola clam
[14:07:37], Unknown, suit of goblin mail
[14:07:52], Unknown, bibiki slug
[14:08:05], Unknown, pebble
[14:08:19], Unknown, handful of fish scales
[14:08:32], Unknown, bibiki slug
[14:08:45], Unknown, jacknife
[14:08:58], Unknown, suit of goblin mail
[14:11:04], Unknown, shall shell
[14:11:16], Unknown, broken willow fishing rod
[14:11:31], Unknown, jacknife
[14:11:51], Unknown, shall shell
[14:12:04], Unknown, bibiki slug
[14:12:18], Unknown, pebble
[14:13:11], Unknown, pebble
[14:14:35], Unknown, handful of pugil scales
[14:14:48], Unknown, handful of fish scales
[14:15:02], Unknown, shall shell
[14:15:14], Unknown, pebble
[14:15:31], Unknown, jacknife
[14:15:50], Unknown, bibiki slug
[14:16:03], Unknown, jacknife
[14:16:56], Unknown, bibiki urchin
[14:17:10], Unknown, high-quality crab shell
[14:17:23], Unknown, maple log
[14:17:37], Unknown, pebble
[14:17:49], Unknown, goblin mask
[14:19:17], Unknown, vongola clam
[14:19:35], Unknown, vongola clam
[14:19:48], Unknown, clump of pamtam kelp
[14:20:01], Unknown, handful of pugil scales
[14:20:14], Unknown, jacknife
[14:20:29], Unknown, nebimonite
[14:20:44], Unknown, bibiki slug
[14:27:50], Unknown, crab shell
[14:28:04], Unknown, vongola clam
[14:28:17], Unknown, shall shell
[14:28:30], Unknown, tropical clam
[14:29:42], Unknown, pebble
[14:29:55], Unknown, pebble
[14:30:10], Unknown, pebble
[14:30:23], Unknown, handful of fish scales
[14:30:36], Unknown, broken willow fishing rod
[14:30:50], Unknown, nebimonite
[14:31:03], Unknown, bibiki urchin
[14:31:58], Unknown, pebble
[14:32:12], Unknown, pebble
[14:32:30], Unknown, bibiki slug
[14:32:44], Unknown, pebble
[14:33:03], Unknown, pebble
[14:33:17], Unknown, seashell
[14:33:38], Unknown, bibiki slug
[14:35:01], Unknown, seashell
[14:35:51], Unknown, pebble
[14:36:04], Unknown, nebimonite
[14:36:19], Unknown, hobgoblin pie
[14:36:34], Unknown, tropical clam
[14:37:32], Unknown, titanictus shell
[14:37:45], Unknown, elm log
[14:37:59], Unknown, pebble
[14:38:18], Unknown, hobgoblin pie
[14:38:33], Unknown, nebimonite
[14:39:39], Unknown, uragnite shell
[14:39:59], Unknown, vongola clam
[14:40:12], Unknown, jacknife
[14:40:24], Unknown, suit of goblin mail
[14:40:46], Unknown, jacknife
[15:45:28], Unknown, pebble
[15:45:41], Unknown, handful of high-quality pugil scales
[15:47:47], Unknown, pebble
[15:47:59], Unknown, handful of pugil scales
[15:48:12], Unknown, pebble
[15:48:26], Unknown, vongola clam
[15:48:38], Unknown, shall shell
