[12:04:49], Unknown, maple log
[12:04:49], Unknown, bibiki slug
[12:04:49], Unknown, pebble
[12:04:49], Unknown, pebble
[12:04:49], Unknown, suit of goblin armor
[12:04:49], Unknown, sack of white sand
[12:04:49], Unknown, goblin mask
[12:06:34], Unknown, uragnite shell
[12:06:34], Unknown, pebble
[12:06:34], Unknown, pebble
[12:06:34], Unknown, sack of white sand
[12:06:34], Unknown, titanictus shell
[12:08:46], Unknown, jacknife
[12:08:46], Unknown, seashell
[12:08:46], Unknown, handful of pugil scales
[12:08:46], Unknown, shall shell
[12:08:46], Unknown, shall shell
[12:08:46], Unknown, clump of pamtam kelp
[12:08:46], Unknown, crab shell
[12:10:04], Unknown, tropical clam
[12:10:04], Unknown, nebimonite
[12:10:04], Unknown, loaf of hobgoblin bread
[12:12:24], Unknown, handful of high-quality pugil scales
[12:12:24], Unknown, handful of pugil scales
[12:12:24], Unknown, handful of fish scales
[12:12:24], Unknown, handful of fish scales
[12:12:24], Unknown, goblin mask
[12:12:24], Unknown, pebble
[12:12:24], Unknown, sack of white sand
[12:12:24], Unknown, shall shell
[12:14:58], Unknown, loaf of hobgoblin bread
[12:14:58], Unknown, loaf of hobgoblin bread
[12:14:58], Unknown, handful of pugil scales
[12:14:58], Unknown, bibiki slug
[12:14:58], Unknown, bibiki slug
[12:14:58], Unknown, bibiki slug
[12:14:58], Unknown, vongola clam
[12:14:58], Unknown, vongola clam
[12:14:58], Unknown, crab shell
[14:09:21], Unknown, jacknife
[14:09:21], Unknown, pebble
[14:09:21], Unknown, handful of fish scales
[14:09:21], Unknown, bibiki slug
[14:09:21], Unknown, bibiki slug
[14:09:21], Unknown, suit of goblin mail
[14:09:21], Unknown, suit of goblin mail
[14:12:44], Unknown, jacknife
[14:12:44], Unknown, broken willow fishing rod
[14:12:44], Unknown, pebble
[14:12:44], Unknown, bibiki slug
[14:12:44], Unknown, shall shell
[14:12:44], Unknown, shall shell
[14:18:35], Unknown, high-quality crab shell
[14:18:35], Unknown, maple log
[14:18:35], Unknown, pebble
[14:18:35], Unknown, bibiki urchin
[14:18:35], Unknown, goblin mask
[14:27:09], Unknown, jacknife
[14:27:09], Unknown, clump of pamtam kelp
[14:27:09], Unknown, bibiki slug
[14:27:09], Unknown, nebimonite
[14:27:09], Unknown, vongola clam
[14:27:09], Unknown, vongola clam
[14:27:09], Unknown, handful of pugil scales
[14:28:54], Unknown, shall shell
[14:28:54], Unknown, tropical clam
[14:28:54], Unknown, vongola clam
[14:28:54], Unknown, crab shell
[14:31:29], Unknown, bibiki urchin
[14:31:29], Unknown, broken willow fishing rod
[14:31:29], Unknown, pebble
[14:31:29], Unknown, pebble
[14:31:29], Unknown, pebble
[14:31:29], Unknown, nebimonite
[14:31:29], Unknown, handful of fish scales
[14:37:03], Unknown, hobgoblin pie
[14:37:03], Unknown, tropical clam
[14:37:03], Unknown, seashell
[14:37:03], Unknown, seashell
[14:37:03], Unknown, pebble
[14:37:03], Unknown, pebble
[14:37:03], Unknown, pebble
[14:37:03], Unknown, pebble
[14:37:03], Unknown, pebble
[14:37:03], Unknown, nebimonite
[14:37:03], Unknown, bibiki slug
[14:37:03], Unknown, bibiki slug
[14:39:05], Unknown, hobgoblin pie
[14:39:05], Unknown, elm log
[14:39:05], Unknown, pebble
[14:39:05], Unknown, titanictus shell
[14:39:05], Unknown, nebimonite
[14:41:14], Unknown, jacknife
[14:41:14], Unknown, jacknife
[14:41:14], Unknown, uragnite shell
[14:41:14], Unknown, vongola clam
[14:41:14], Unknown, suit of goblin mail
